Time,Morgan_Stanley_count,Goldman_Sachs_count,BlackRock_count,positive_count,negative_count,Morgan_Stanley_positive_count,Morgan_Stanley_negative_count,Goldman_Sachs_positive_count,Goldman_Sachs_negative_count,BlackRock_positive_count,BlackRock_negative_count,total_msg_count,Morgan_Stanley_frac,Goldman_Sachs_frac,BlackRock_frac,positive_frac,negative_frac,Morgan_Stanley_positive_frac,Morgan_Stanley_negative_frac,Goldman_Sachs_positive_frac,Goldman_Sachs_negative_frac,BlackRock_positive_frac,BlackRock_negative_frac
2013-01-01,0,2,0,704,739,0,0,0,2,0,0,182,0.0,0.01098901098901099,0.0,3.868131868131868,4.06043956043956,0.0,0.0,0.0,0.01098901098901099,0.0,0.0
2013-01-02,28,26,124,9933,5657,128,69,83,96,1346,1228,1886,0.014846235418875928,0.013785790031813362,0.06574761399787911,5.266702014846236,2.999469777306469,0.06786850477200425,0.036585365853658534,0.0440084835630965,0.05090137857900318,0.7136797454931071,0.6511134676564156
2013-01-03,28,28,13,13031,6714,159,77,56,52,52,0,2175,0.012873563218390805,0.012873563218390805,0.005977011494252874,5.991264367816092,3.086896551724138,0.07310344827586207,0.035402298850574714,0.02574712643678161,0.023908045977011495,0.023908045977011495,0.0
2013-01-04,24,18,5,8513,5661,164,148,80,96,52,36,1603,0.014971927635683094,0.011228945726762321,0.0031191515907673115,5.3106674984404245,3.5315034310667497,0.10230817217716781,0.09232688708671241,0.049906425452276984,0.05988771054273238,0.032439176543980035,0.022457891453524642
2013-01-05,6,4,0,798,885,22,30,18,48,0,0,208,0.028846153846153848,0.019230769230769232,0.0,3.8365384615384617,4.2548076923076925,0.10576923076923077,0.14423076923076922,0.08653846153846154,0.23076923076923078,0.0,0.0
2013-01-06,5,2,0,1315,969,31,22,0,6,0,0,245,0.02040816326530612,0.00816326530612245,0.0,5.36734693877551,3.9551020408163264,0.12653061224489795,0.08979591836734693,0.0,0.024489795918367346,0.0,0.0
2013-01-07,101,37,25,18888,9391,481,455,109,42,156,21,2762,0.036567704561911656,0.013396089790007242,0.009051412020275163,6.838522809558291,3.4000724112961622,0.17414916727009414,0.16473569876900795,0.03946415640839971,0.015206372194062274,0.056480811006517015,0.007603186097031137
2013-01-08,54,68,37,19792,9894,337,305,348,588,276,327,3085,0.017504051863857374,0.022042139384116692,0.011993517017828201,6.415559157212318,3.207131280388979,0.10923824959481361,0.09886547811993517,0.11280388978930309,0.1905996758508914,0.08946515397082658,0.1059967585089141
2013-01-09,80,80,23,17855,9897,238,499,571,457,56,166,2704,0.029585798816568046,0.029585798816568046,0.008505917159763314,6.603180473372781,3.6601331360946747,0.08801775147928995,0.1845414201183432,0.21116863905325445,0.16900887573964496,0.020710059171597635,0.0613905325443787
2013-01-10,74,37,116,17098,8850,434,449,256,184,913,606,2683,0.027581065970928065,0.013790532985464033,0.04323518449496832,6.3727171077152445,3.2985464032799103,0.16175922474841595,0.1673499813641446,0.0954155795751025,0.06857994781960491,0.3402907193440179,0.22586656727543794
2013-01-11,70,45,9,11171,7902,501,354,129,174,26,12,2136,0.03277153558052434,0.021067415730337078,0.004213483146067416,5.229868913857678,3.699438202247191,0.2345505617977528,0.16573033707865167,0.060393258426966294,0.08146067415730338,0.012172284644194757,0.0056179775280898875
2013-01-12,0,2,0,1048,977,0,0,8,10,0,0,252,0.0,0.007936507936507936,0.0,4.158730158730159,3.876984126984127,0.0,0.0,0.031746031746031744,0.03968253968253968,0.0,0.0
2013-01-13,8,7,0,1386,1195,6,12,23,35,0,0,306,0.026143790849673203,0.02287581699346405,0.0,4.529411764705882,3.9052287581699345,0.0196078431372549,0.0392156862745098,0.07516339869281045,0.11437908496732026,0.0,0.0
2013-01-14,55,51,4,16898,9021,277,131,240,98,5,0,2666,0.020630157539384845,0.019129782445611403,0.0015003750937734434,6.338334583645912,3.383720930232558,0.10390097524381095,0.04913728432108027,0.0900225056264066,0.03675918979744936,0.0018754688672168042,0.0
2013-01-15,64,67,28,20395,9880,269,258,248,315,200,15,3131,0.020440753752794635,0.021398914084956883,0.008942829766847652,6.513893324816353,3.1555413605876717,0.08591504311721494,0.08240178856595337,0.07920792079207921,0.10060683487703609,0.06387735547748323,0.0047908016608112424
2013-01-16,102,131,19,18537,10817,531,396,1192,869,290,32,2978,0.03425117528542646,0.04398925453324379,0.0063801208865010076,6.224647414372062,3.632303559435863,0.17830758898589658,0.13297515110812627,0.40026863666890533,0.2918065815983882,0.09738079247817327,0.010745466756212223
2013-01-17,55,56,139,18587,10713,438,448,269,237,12584,8166,2907,0.01891984864121087,0.019263845889232887,0.0478156174750602,6.393876848985208,3.6852425180598556,0.15067079463364294,0.1541107671138631,0.09253525971792226,0.08152734778121776,4.328861369109047,2.8090815273477814
2013-01-18,232,65,22,12908,8684,9768,11138,397,333,121,74,2362,0.09822184589331075,0.0275190516511431,0.009314140558848433,5.464860287891617,3.6765453005927182,4.135478408128704,4.715495342929721,0.168077900084674,0.1409822184589331,0.05122777307366638,0.03132938187976291
2013-01-19,6,7,0,1364,965,39,54,61,81,0,0,276,0.021739130434782608,0.025362318840579712,0.0,4.942028985507246,3.496376811594203,0.14130434782608695,0.1956521739130435,0.2210144927536232,0.29347826086956524,0.0,0.0
2013-01-20,1,2,0,1160,924,5,4,27,21,0,0,259,0.003861003861003861,0.007722007722007722,0.0,4.478764478764479,3.5675675675675675,0.019305019305019305,0.015444015444015444,0.10424710424710425,0.08108108108108109,0.0,0.0
2013-01-21,18,23,2,9455,5246,44,33,129,65,0,0,1850,0.00972972972972973,0.012432432432432432,0.001081081081081081,5.110810810810811,2.8356756756756756,0.023783783783783784,0.01783783783783784,0.06972972972972973,0.03513513513513514,0.0,0.0
2013-01-22,46,40,25,21727,11434,392,165,214,139,152,42,3023,0.015216672179953688,0.013231888852133642,0.008269930532583526,7.1872312272576915,3.7823354283824018,0.1296725107509097,0.05458154151505128,0.07079060535891499,0.045980813761164405,0.05028117763810784,0.013893483294740324
2013-01-23,65,78,24,19865,11981,400,193,292,321,429,430,2840,0.022887323943661973,0.027464788732394368,0.008450704225352112,6.994718309859155,4.218661971830986,0.14084507042253522,0.06795774647887325,0.1028169014084507,0.11302816901408451,0.151056338028169,0.15140845070422534
2013-01-24,29,37,24,17305,10382,155,116,176,153,552,96,2314,0.012532411408815903,0.01598962834917891,0.010371650821089023,7.478392394122731,4.486603284356093,0.06698357821953328,0.05012964563526361,0.07605877268798616,0.06611927398444252,0.23854796888504753,0.04148660328435609
2013-01-25,61,33,30,12579,8755,257,263,121,69,282,140,2093,0.029144768275203056,0.015766841853798376,0.01433349259436216,6.010033444816053,4.182990922121357,0.12279025322503584,0.12565695174390826,0.057811753463927376,0.03296703296703297,0.1347348303870043,0.06688963210702341
2013-01-26,8,0,3,873,869,8,8,0,0,15,6,236,0.03389830508474576,0.0,0.012711864406779662,3.6991525423728815,3.6822033898305087,0.03389830508474576,0.03389830508474576,0.0,0.0,0.0635593220338983,0.025423728813559324
2013-01-27,3,2,0,1210,868,11,13,10,12,0,0,268,0.011194029850746268,0.007462686567164179,0.0,4.514925373134329,3.2388059701492535,0.041044776119402986,0.048507462686567165,0.03731343283582089,0.04477611940298507,0.0,0.0
2013-01-28,36,45,8,18482,10783,94,84,106,105,30,50,2542,0.014162077104642014,0.01770259638080252,0.003147128245476003,7.270653029110936,4.241935483870968,0.03697875688434304,0.03304484657749803,0.041699449252557044,0.04130605822187254,0.011801730920535013,0.01966955153422502
