Time,Morgan_Stanley_count,Goldman_Sachs_count,BlackRock_count,positive_count,negative_count,Morgan_Stanley_positive_count,Morgan_Stanley_negative_count,Goldman_Sachs_positive_count,Goldman_Sachs_negative_count,BlackRock_positive_count,BlackRock_negative_count,total_msg_count,Morgan_Stanley_frac,Goldman_Sachs_frac,BlackRock_frac,positive_frac,negative_frac,Morgan_Stanley_positive_frac,Morgan_Stanley_negative_frac,Goldman_Sachs_positive_frac,Goldman_Sachs_negative_frac,BlackRock_positive_frac,BlackRock_negative_frac
2014-12-31,2,22,0,5997,2561,20,6,242,95,0,0,493,0.004056795131845842,0.04462474645030426,0.0,12.164300202839756,5.194726166328601,0.04056795131845842,0.012170385395537525,0.4908722109533469,0.1926977687626775,0.0,0.0
2015-01-01,0,16,0,2061,884,0,0,159,47,0,0,171,0.0,0.0935672514619883,0.0,12.052631578947368,5.169590643274854,0.0,0.0,0.9298245614035088,0.27485380116959063,0.0,0.0
2015-01-02,0,1,0,5535,2304,0,0,12,3,0,0,476,0.0,0.0021008403361344537,0.0,11.628151260504202,4.840336134453781,0.0,0.0,0.025210084033613446,0.0063025210084033615,0.0,0.0
2015-01-03,2,3,0,2888,1283,20,6,30,9,0,0,210,0.009523809523809525,0.014285714285714285,0.0,13.752380952380953,6.109523809523809,0.09523809523809523,0.02857142857142857,0.14285714285714285,0.04285714285714286,0.0,0.0
2015-01-04,1,2,0,2346,929,14,11,26,6,0,0,182,0.005494505494505495,0.01098901098901099,0.0,12.89010989010989,5.104395604395604,0.07692307692307693,0.06043956043956044,0.14285714285714285,0.03296703296703297,0.0,0.0
2015-01-05,65,29,45,8515,3602,653,642,294,178,491,112,740,0.08783783783783784,0.03918918918918919,0.060810810810810814,11.506756756756756,4.867567567567567,0.8824324324324324,0.8675675675675676,0.3972972972972973,0.24054054054054055,0.6635135135135135,0.15135135135135136
2015-01-06,14,2,0,1202,504,142,189,20,17,0,0,104,0.1346153846153846,0.019230769230769232,0.0,11.557692307692308,4.846153846153846,1.3653846153846154,1.8173076923076923,0.19230769230769232,0.16346153846153846,0.0,0.0
2015-01-07,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2015-01-08,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2015-01-09,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2015-01-10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
