Time,Morgan_Stanley_count,Goldman_Sachs_count,BlackRock_count,positive_count,negative_count,Morgan_Stanley_positive_count,Morgan_Stanley_negative_count,Goldman_Sachs_positive_count,Goldman_Sachs_negative_count,BlackRock_positive_count,BlackRock_negative_count,total_msg_count,Morgan_Stanley_frac,Goldman_Sachs_frac,BlackRock_frac,positive_frac,negative_frac,Morgan_Stanley_positive_frac,Morgan_Stanley_negative_frac,Goldman_Sachs_positive_frac,Goldman_Sachs_negative_frac,BlackRock_positive_frac,BlackRock_negative_frac
2012-01-01,2,1,0,441,331,18,2,11,7,0,0,100,0.02,0.01,0.0,4.41,3.31,0.18,0.02,0.11,0.07,0.0,0.0
2012-01-02,1,6,0,1308,1059,0,0,32,38,0,0,344,0.0029069767441860465,0.01744186046511628,0.0,3.802325581395349,3.078488372093023,0.0,0.0,0.09302325581395349,0.11046511627906977,0.0,0.0
2012-01-03,17,25,125,10049,6105,56,10,141,162,918,882,2787,0.006099748833871547,0.00897021887334051,0.044851094366702544,3.6056691783279513,2.1905274488697524,0.020093290276282743,0.003588087549336204,0.05059203444564048,0.0581270182992465,0.3293864370290635,0.31646932185145316
2012-01-04,29,43,32,11864,7278,173,124,193,208,274,254,2642,0.01097653292959879,0.01627554882664648,0.012112036336109008,4.490537471612415,2.7547312641937927,0.06548069644208933,0.046934140802422405,0.07305071915215745,0.07872823618470856,0.10370931112793338,0.09613928841786526
2012-01-05,20,56,62,14826,8877,73,86,190,810,1284,764,3015,0.006633499170812604,0.01857379767827529,0.020563847429519073,4.917412935323383,2.9442786069651743,0.024212271973466003,0.028524046434494195,0.06301824212271974,0.26865671641791045,0.42587064676616915,0.25339966832504146
2012-01-06,35,35,20,9568,7525,195,133,160,494,79,140,2417,0.014480761274306992,0.014480761274306992,0.008274720728175424,3.958626396359123,3.113363673976003,0.08067852709971038,0.05502689284236657,0.06619776582540339,0.20438560198593297,0.032685146876292925,0.05792304509722797
2012-01-07,1,0,0,848,730,2,5,0,0,0,0,211,0.004739336492890996,0.0,0.0,4.018957345971564,3.4597156398104265,0.009478672985781991,0.023696682464454975,0.0,0.0,0.0,0.0
2012-01-08,2,0,0,871,719,5,5,0,0,0,0,208,0.009615384615384616,0.0,0.0,4.1875,3.456730769230769,0.02403846153846154,0.02403846153846154,0.0,0.0,0.0,0.0
2012-01-09,46,62,41,16706,9068,157,138,325,569,395,302,3033,0.015166501813386087,0.02044180679195516,0.013517969007583251,5.508077810748434,2.9897790966040225,0.05176393010220903,0.04549950544015826,0.10715463237718431,0.18760303330036268,0.130234091658424,0.09957138147049126
2012-01-10,68,46,22,23329,11430,581,413,275,831,99,195,3883,0.017512232809683236,0.011846510430079836,0.0056657223796034,6.007983517898532,2.9436003090394025,0.14962657738861704,0.10636106103528199,0.0708215297450425,0.21400978624774658,0.025495750708215296,0.050218902910121044
2012-01-11,30,78,100,16478,9445,137,282,1048,1517,774,779,3146,0.009535918626827717,0.024793388429752067,0.03178639542275906,5.2377622377622375,3.0022250476795933,0.04354736172917991,0.08963763509218055,0.3331214240305149,0.48219961856325494,0.24602670057215512,0.24761602034329308
2012-01-12,51,44,46,17569,10603,185,215,253,281,229,226,3266,0.015615431720759338,0.013472137170851195,0.014084507042253521,5.379363135333741,3.2464788732394365,0.05664421310471525,0.06582976117575015,0.07746478873239436,0.08603796693202695,0.07011635027556644,0.06919779546846296
2012-01-13,44,52,22,10819,8223,258,154,218,201,82,129,2659,0.016547574276043624,0.019556224144415192,0.008273787138021812,4.0688228657389995,3.092515983452426,0.09702895825498307,0.05791650996615269,0.08198570891312523,0.07559232794283566,0.030838661150808574,0.04851447912749154
