Time,Morgan_Stanley_count,Goldman_Sachs_count,BlackRock_count,positive_count,negative_count,Morgan_Stanley_positive_count,Morgan_Stanley_negative_count,Goldman_Sachs_positive_count,Goldman_Sachs_negative_count,BlackRock_positive_count,BlackRock_negative_count,total_msg_count,Morgan_Stanley_frac,Goldman_Sachs_frac,BlackRock_frac,positive_frac,negative_frac,Morgan_Stanley_positive_frac,Morgan_Stanley_negative_frac,Goldman_Sachs_positive_frac,Goldman_Sachs_negative_frac,BlackRock_positive_frac,BlackRock_negative_frac
2008-01-01,0,0,0,21,106,0,0,0,0,0,0,248,0.0,0.0,0.0,0.0846774193548387,0.4274193548387097,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-02,28,18,10,379,835,0,22,0,16,0,16,2873,0.009745910198398886,0.006265227984684998,0.003480682213713888,0.13191785589975635,0.29063696484510965,0.0,0.007657500870170553,0.0,0.005569091541942221,0.0,0.005569091541942221
2008-01-03,34,17,5,422,986,0,30,0,14,0,7,3330,0.01021021021021021,0.005105105105105105,0.0015015015015015015,0.12672672672672672,0.2960960960960961,0.0,0.009009009009009009,0.0,0.004204204204204204,0.0,0.002102102102102102
2008-01-04,25,18,5,334,869,0,24,0,17,0,7,2592,0.009645061728395061,0.006944444444444444,0.0019290123456790122,0.12885802469135801,0.33526234567901236,0.0,0.009259259259259259,0.0,0.006558641975308642,0.0,0.002700617283950617
2008-01-05,0,0,0,44,129,0,0,0,0,0,0,266,0.0,0.0,0.0,0.16541353383458646,0.4849624060150376,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-06,0,0,0,65,124,0,0,0,0,0,0,327,0.0,0.0,0.0,0.19877675840978593,0.37920489296636084,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-07,32,17,10,549,1178,0,28,0,14,0,12,3946,0.008109477952356817,0.004308160162189559,0.002534211860111505,0.13912823112012165,0.29853015712113534,0.0,0.007095793208312215,0.0,0.0035478966041561076,0.0,0.0030410542321338066
2008-01-08,26,20,8,569,1186,0,24,0,17,0,9,3883,0.006695853721349472,0.0051506567087303634,0.0020602626834921455,0.14653618336337884,0.3054339428277105,0.0,0.006180788050476436,0.0,0.004378058202420809,0.0,0.0023177955189286636
2008-01-09,31,24,11,498,1128,0,27,0,21,0,15,3483,0.008900373241458513,0.0068906115417743325,0.003158196956646569,0.1429801894918174,0.32385874246339363,0.0,0.007751937984496124,0.0,0.006029285099052541,0.0,0.004306632213608958
2008-01-10,25,17,6,484,1101,0,20,0,14,0,8,3648,0.006853070175438596,0.004660087719298245,0.001644736842105263,0.13267543859649122,0.30180921052631576,0.0,0.005482456140350877,0.0,0.003837719298245614,0.0,0.0021929824561403508
2008-01-11,0,0,0,45,109,0,0,0,0,0,0,298,0.0,0.0,0.0,0.15100671140939598,0.36577181208053694,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-12,0,0,0,24,113,0,0,0,0,0,0,226,0.0,0.0,0.0,0.10619469026548672,0.5,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-13,0,0,0,61,178,0,0,0,0,0,0,393,0.0,0.0,0.0,0.15521628498727735,0.4529262086513995,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-14,28,18,7,587,1111,2,25,0,14,0,10,3691,0.007586020048767272,0.004876727174207532,0.001896505012191818,0.15903549173665674,0.3010024383635871,0.000541858574911948,0.00677323218639935,0.0,0.003793010024383636,0.0,0.00270929287455974
2008-01-15,28,14,7,542,1295,0,26,0,13,0,9,3942,0.007102993404363267,0.0035514967021816335,0.0017757483510908167,0.13749365804160324,0.3285134449518011,0.0,0.006595636732623034,0.0,0.003297818366311517,0.0,0.00228310502283105
2008-01-16,25,22,8,521,1280,1,21,0,20,0,10,3754,0.006659563132658497,0.005860415556739478,0.002131060202450719,0.1387852956846031,0.3409696323921151,0.0002663825253063399,0.005594033031433138,0.0,0.005327650506126798,0.0,0.002663825253063399
2008-01-17,31,13,9,587,1388,2,31,0,12,0,11,3797,0.008164340268633132,0.003423755596523571,0.00237029233605478,0.1545957334737951,0.36555175138267054,0.0005267316302343956,0.008164340268633132,0.0,0.0031603897814063736,0.0,0.0028970239662891757
2008-01-18,32,22,6,400,1070,2,26,1,21,0,8,3129,0.010226909555768616,0.007031000319590924,0.0019175455417066154,0.1278363694471077,0.3419622882710131,0.0006391818472355385,0.008309364014062001,0.00031959092361776926,0.006711409395973154,0.0,0.002556727388942154
2008-01-19,0,0,0,34,189,0,0,0,0,0,0,357,0.0,0.0,0.0,0.09523809523809523,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-20,0,0,0,51,142,0,0,0,0,0,0,309,0.0,0.0,0.0,0.1650485436893204,0.459546925566343,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-21,27,22,5,384,877,0,27,0,21,0,7,2645,0.010207939508506616,0.00831758034026465,0.001890359168241966,0.14517958412098297,0.33156899810964086,0.0,0.010207939508506616,0.0,0.007939508506616257,0.0,0.0026465028355387526
2008-01-22,21,15,6,685,1442,0,17,0,15,0,8,4162,0.005045651129264777,0.0036040365209034117,0.0014416146083613647,0.16458433445458914,0.34646804420951466,0.0,0.004084574723690533,0.0,0.0036040365209034117,0.0,0.0019221528111484864
2008-01-23,30,10,8,605,1337,1,25,0,10,0,10,3897,0.007698229407236336,0.0025660764690787785,0.002052861175263023,0.1552476263792661,0.3430844239158327,0.00025660764690787786,0.006415191172696947,0.0,0.0025660764690787785,0.0,0.0025660764690787785
