Time,Morgan_Stanley_count,Goldman_Sachs_count,BlackRock_count,positive_count,negative_count,Morgan_Stanley_positive_count,Morgan_Stanley_negative_count,Goldman_Sachs_positive_count,Goldman_Sachs_negative_count,BlackRock_positive_count,BlackRock_negative_count,total_msg_count,Morgan_Stanley_frac,Goldman_Sachs_frac,BlackRock_frac,positive_frac,negative_frac,Morgan_Stanley_positive_frac,Morgan_Stanley_negative_frac,Goldman_Sachs_positive_frac,Goldman_Sachs_negative_frac,BlackRock_positive_frac,BlackRock_negative_frac
2011-01-01,0,1,0,287,211,0,0,7,8,0,0,90,0.0,0.011111111111111112,0.0,3.188888888888889,2.3444444444444446,0.0,0.0,0.07777777777777778,0.08888888888888889,0.0,0.0
2011-01-02,0,0,1,381,393,0,0,0,0,0,0,130,0.0,0.0,0.007692307692307693,2.9307692307692306,3.023076923076923,0.0,0.0,0.0,0.0,0.0,0.0
2011-01-03,35,34,108,8106,3876,175,117,117,92,787,712,1343,0.026061057334326135,0.02531645569620253,0.08041697691734921,6.035740878629933,2.8860759493670884,0.1303052866716307,0.08711839166046165,0.08711839166046165,0.06850335070737155,0.5860014892032762,0.530156366344006
2011-01-04,84,43,32,18121,9299,456,358,250,158,162,183,3737,0.02247792346802248,0.011506556061011506,0.008563018464008563,4.849076799571849,2.4883596467754883,0.12202301311212202,0.0957987690660958,0.0668985817500669,0.04227990366604228,0.04335028097404335,0.04896976184104897
2011-01-05,57,53,49,18747,9684,283,250,286,304,578,398,3565,0.015988779803646564,0.014866760168302946,0.013744740532959326,5.258625525946704,2.7164095371669004,0.07938288920056101,0.07012622720897616,0.08022440392706873,0.08527349228611501,0.1621318373071529,0.11164095371669004
2011-01-06,42,100,26,19972,10129,104,138,422,640,103,254,3423,0.012269938650306749,0.029214139643587496,0.007595676307332749,5.834647969617294,2.9591002044989776,0.030382705229330995,0.040315512708150744,0.12328366929593923,0.18697049371896,0.03009056383289512,0.07420391469471224
2011-01-07,54,51,36,11420,8306,252,228,200,186,123,282,2817,0.019169329073482427,0.01810436634717785,0.012779552715654952,4.053958111466098,2.9485268015619455,0.08945686900958466,0.08093716719914804,0.07099751508697195,0.06602768903088392,0.043663471778487756,0.10010649627263046
2011-01-08,7,2,0,870,833,12,22,10,11,0,0,234,0.029914529914529916,0.008547008547008548,0.0,3.717948717948718,3.5598290598290596,0.05128205128205128,0.09401709401709402,0.042735042735042736,0.04700854700854701,0.0,0.0
2011-01-09,0,1,0,1025,854,0,0,8,7,0,0,279,0.0,0.0035842293906810036,0.0,3.673835125448029,3.060931899641577,0.0,0.0,0.02867383512544803,0.025089605734767026,0.0,0.0
2011-01-10,108,29,59,19454,10966,331,259,123,100,355,404,3518,0.030699260943718023,0.00824332006822058,0.016770892552586698,5.529846503695281,3.1171119954519613,0.09408754974417283,0.07362137578169414,0.03496304718590108,0.028425241614553724,0.10090960773166571,0.11483797612279704
2011-01-11,67,73,30,20410,11974,280,280,207,268,86,242,3837,0.01746155850925202,0.019025280166796978,0.007818608287724784,5.319259838415428,3.120667187907219,0.07297367735209799,0.07297367735209799,0.05394839718530102,0.06984623403700808,0.022413343758144383,0.06307010685431326
2011-01-12,68,69,50,17941,10037,389,182,2867,2303,233,265,3545,0.01918194640338505,0.019464033850493653,0.014104372355430184,5.0609308885754585,2.831311706629055,0.10973201692524683,0.051339915373765865,0.8087447108603667,0.6496473906911142,0.06572637517630465,0.07475317348377997
2011-01-13,104,63,37,17521,11241,591,309,700,444,185,312,3573,0.029107192835152534,0.017632241813602016,0.010355443604813882,4.903722362160649,3.146095717884131,0.16540722082283796,0.08648194794290512,0.19591379792891128,0.12426532325776658,0.051777218024069406,0.0873215785054576
2011-01-14,142,69,61,11466,8838,802,634,432,347,293,566,3032,0.04683377308707124,0.022757255936675463,0.020118733509234828,3.7816622691292876,2.9149076517150396,0.26451187335092347,0.2091029023746702,0.1424802110817942,0.11444591029023747,0.0966358839050132,0.1866754617414248
2011-01-15,1,5,0,812,624,9,4,25,12,0,0,232,0.004310344827586207,0.021551724137931036,0.0,3.5,2.689655172413793,0.03879310344827586,0.017241379310344827,0.10775862068965517,0.05172413793103448,0.0,0.0
2011-01-16,5,4,0,767,697,25,9,38,18,0,0,261,0.019157088122605363,0.01532567049808429,0.0,2.9386973180076628,2.6704980842911876,0.09578544061302682,0.034482758620689655,0.14559386973180077,0.06896551724137931,0.0,0.0
2011-01-17,65,26,22,10134,6295,783,539,152,78,89,227,2473,0.026283865750101092,0.010513546300040437,0.008896077638495753,4.097856854023453,2.5454913061059443,0.3166194904973716,0.21795390214314597,0.061463809138697936,0.031540638900121314,0.035988677719369186,0.09179134654266073
2011-01-18,91,77,36,23022,12142,485,548,363,205,133,238,3934,0.023131672597864767,0.019572953736654804,0.009150991357397052,5.8520589730554144,3.0864260294865278,0.12328418912048805,0.1392984239959329,0.09227249618708694,0.052109811896288764,0.033807829181494664,0.060498220640569395
2011-01-19,118,187,43,20120,11994,508,536,1502,1218,153,294,3810,0.030971128608923884,0.049081364829396325,0.011286089238845144,5.2808398950131235,3.148031496062992,0.13333333333333333,0.14068241469816273,0.3942257217847769,0.31968503937007875,0.04015748031496063,0.07716535433070866
2011-01-20,280,95,39,19103,11854,5643,5949,1044,1078,131,263,3564,0.07856341189674523,0.02665544332210999,0.010942760942760943,5.3599887766554435,3.3260381593714925,1.5833333333333333,1.6691919191919191,0.29292929292929293,0.30246913580246915,0.03675645342312009,0.07379349046015712
