Time,Morgan_Stanley_count,Goldman_Sachs_count,BlackRock_count,positive_count,negative_count,Morgan_Stanley_positive_count,Morgan_Stanley_negative_count,Goldman_Sachs_positive_count,Goldman_Sachs_negative_count,BlackRock_positive_count,BlackRock_negative_count,total_msg_count,Morgan_Stanley_frac,Goldman_Sachs_frac,BlackRock_frac,positive_frac,negative_frac,Morgan_Stanley_positive_frac,Morgan_Stanley_negative_frac,Goldman_Sachs_positive_frac,Goldman_Sachs_negative_frac,BlackRock_positive_frac,BlackRock_negative_frac
2014-01-01,0,0,0,733,609,0,0,0,0,0,0,168,0.0,0.0,0.0,4.363095238095238,3.625,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-02,8,22,110,7559,4571,33,16,60,27,700,843,1547,0.005171299288946348,0.014221073044602456,0.07110536522301228,4.886231415643181,2.9547511312217196,0.021331609566903685,0.010342598577892695,0.03878474466709761,0.017453135100193924,0.45248868778280543,0.5449256625727213
2014-01-03,6,26,0,6021,4128,10,6,69,54,0,0,1289,0.004654771140418929,0.02017067494181536,0.0,4.6710628394103955,3.2024825446082232,0.007757951900698216,0.004654771140418929,0.05352986811481769,0.04189294026377036,0.0,0.0
2014-01-04,0,12,0,1170,1084,0,0,32,104,0,0,247,0.0,0.048582995951417005,0.0,4.7368421052631575,4.388663967611336,0.0,0.0,0.12955465587044535,0.42105263157894735,0.0,0.0
2014-01-05,0,3,0,1474,1042,0,0,24,16,0,0,252,0.0,0.011904761904761904,0.0,5.849206349206349,4.134920634920635,0.0,0.0,0.09523809523809523,0.06349206349206349,0.0,0.0
2014-01-06,58,60,4,15721,7706,331,172,196,201,22,4,2332,0.024871355060034305,0.025728987993138937,0.0017152658662092624,6.741423670668953,3.304459691252144,0.14193825042881647,0.07375643224699828,0.08404802744425385,0.08619210977701544,0.009433962264150943,0.0017152658662092624
2014-01-07,46,46,3,16664,8281,273,125,268,144,9,16,2527,0.01820340324495449,0.01820340324495449,0.001187178472497032,6.594380688563514,3.2770083102493075,0.10803324099722991,0.049465769687376336,0.10605461020973486,0.05698456667985754,0.003561535417491096,0.006331618519984171
2014-01-08,27,75,22,15462,8599,143,121,370,790,283,143,2568,0.010514018691588784,0.029205607476635514,0.008566978193146417,6.021028037383178,3.348520249221184,0.05568535825545171,0.047118380062305294,0.1440809968847352,0.3076323987538941,0.110202492211838,0.05568535825545171
2014-01-09,29,33,54,15914,9713,237,91,134,183,216,379,2570,0.011284046692607004,0.012840466926070038,0.021011673151750974,6.192217898832685,3.7793774319066147,0.09221789883268483,0.035408560311284046,0.052140077821011675,0.07120622568093385,0.0840466926070039,0.14747081712062257
2014-01-10,25,26,37,9184,6942,159,119,104,44,85,264,1798,0.013904338153503892,0.014460511679644048,0.020578420467185762,5.10789766407119,3.860956618464961,0.08843159065628477,0.06618464961067853,0.05784204671857619,0.024471635150166853,0.047274749721913235,0.1468298109010011
